date,open,high,low,close,volume,average,barCount
2025-10-21 11:16:00-04:00,445.43,445.51,445.04,445.14,62619.0,445.26,339
2025-10-21 11:17:00-04:00,445.16,445.38,444.63,445.3,93519.0,445.001,469
2025-10-21 11:18:00-04:00,445.3,445.55,445.06,445.47,40698.0,445.319,231
2025-10-21 11:19:00-04:00,445.49,445.88,445.37,445.58,98983.0,445.675,458
2025-10-21 11:20:00-04:00,445.6,445.8,445.43,445.77,46620.0,445.619,250
2025-10-21 11:21:00-04:00,445.72,446.12,445.67,445.97,108465.0,445.931,445
2025-10-21 11:22:00-04:00,445.95,446.37,445.75,446.13,124782.0,446.084,538
2025-10-21 11:23:00-04:00,446.13,446.44,446.04,446.44,76794.0,446.175,376
2025-10-21 11:24:00-04:00,446.43,446.93,446.0,446.0,199892.0,446.563,961
2025-10-21 11:25:00-04:00,445.97,446.5,445.82,446.25,109399.0,446.218,460
2025-10-21 11:26:00-04:00,446.23,446.84,446.21,446.54,113962.0,446.582,533
2025-10-21 11:27:00-04:00,446.56,447.0,446.43,446.95,153622.0,446.769,645
2025-10-21 11:28:00-04:00,446.96,447.1,446.41,446.57,156743.0,446.788,769
2025-10-21 11:29:00-04:00,446.57,446.75,446.1,446.29,106967.0,446.31,489
2025-10-21 11:30:00-04:00,446.25,446.86,446.25,446.82,88258.0,446.642,480
2025-10-21 11:31:00-04:00,446.81,447.02,446.75,446.85,112748.0,446.885,537
2025-10-21 11:32:00-04:00,446.91,447.39,446.75,447.34,143123.0,447.213,640
2025-10-21 11:33:00-04:00,447.38,447.39,447.05,447.11,91038.0,447.217,407
2025-10-21 11:34:00-04:00,447.08,447.17,446.72,446.82,71876.0,446.92,424
2025-10-21 11:35:00-04:00,446.82,446.96,446.53,446.63,72494.0,446.746,381
2025-10-21 11:36:00-04:00,446.63,447.11,446.54,446.86,100094.0,446.879,483
2025-10-21 11:37:00-04:00,446.79,446.83,445.56,445.63,167799.0,446.043,765
2025-10-21 11:38:00-04:00,445.68,445.98,445.6,445.88,95156.0,445.775,472
2025-10-21 11:39:00-04:00,445.82,445.9,445.44,445.9,111168.0,445.626,473
2025-10-21 11:40:00-04:00,445.88,446.07,445.66,446.0,60892.0,445.9,319
2025-10-21 11:41:00-04:00,446.01,446.34,445.88,446.29,80204.0,446.171,401
2025-10-21 11:42:00-04:00,446.29,446.54,446.2,446.44,67182.0,446.38,342
2025-10-21 11:43:00-04:00,446.44,446.7,446.4,446.69,82633.0,446.541,425
2025-10-21 11:44:00-04:00,446.7,447.07,446.57,447.04,123294.0,446.809,620
2025-10-21 11:45:00-04:00,447.01,447.17,446.63,446.9,116461.0,447.006,563
2025-10-21 11:46:00-04:00,446.88,447.35,446.86,447.27,101348.0,447.144,499
2025-10-21 11:47:00-04:00,447.3,447.8,447.2,447.66,173143.0,447.616,762
2025-10-21 11:48:00-04:00,447.64,448.05,447.35,447.52,211064.0,447.741,871
2025-10-21 11:49:00-04:00,447.5,447.98,447.46,447.9,143408.0,447.799,699
2025-10-21 11:50:00-04:00,447.9,447.99,447.62,447.62,123015.0,447.827,541
2025-10-21 11:51:00-04:00,447.66,447.8,447.54,447.59,60469.0,447.694,319
2025-10-21 11:52:00-04:00,447.6,448.01,447.56,447.77,107659.0,447.806,531
2025-10-21 11:53:00-04:00,447.74,448.07,447.66,447.75,75687.0,447.879,364
2025-10-21 11:54:00-04:00,447.76,448.19,447.66,448.17,123641.0,447.92,583
2025-10-21 11:55:00-04:00,448.09,448.15,447.45,447.62,147725.0,447.79,692
2025-10-21 11:56:00-04:00,447.58,447.93,447.47,447.55,81627.0,447.669,406
2025-10-21 11:57:00-04:00,447.6,447.73,447.12,447.4,118079.0,447.406,599
2025-10-21 11:58:00-04:00,447.4,448.24,447.34,448.14,151331.0,447.843,607
2025-10-21 11:59:00-04:00,448.17,448.38,447.93,448.3,132518.0,448.187,605
2025-10-21 12:00:00-04:00,448.25,448.69,448.12,448.65,153040.0,448.441,689
2025-10-21 12:01:00-04:00,448.65,449.26,448.58,448.86,300012.0,448.991,1371
2025-10-21 12:02:00-04:00,448.86,449.15,448.66,449.12,131616.0,448.869,653
2025-10-21 12:03:00-04:00,449.12,449.3,448.79,448.99,96659.0,449.035,499
2025-10-21 12:04:00-04:00,448.97,449.02,448.65,448.95,108053.0,448.863,641
2025-10-21 12:05:00-04:00,448.94,448.95,448.25,448.38,143173.0,448.643,622
2025-10-21 12:06:00-04:00,448.4,448.41,447.93,447.94,142309.0,448.069,674
2025-10-21 12:07:00-04:00,447.93,447.98,447.7,447.7,99915.0,447.825,594
2025-10-21 12:08:00-04:00,447.76,448.06,447.63,447.99,106132.0,447.845,547
2025-10-21 12:09:00-04:00,448.01,448.21,447.8,447.96,116016.0,448.004,511
2025-10-21 12:10:00-04:00,447.96,448.0,447.66,447.72,70660.0,447.81,391
